Date,IVV US Equity  (L2),IEUR US Equity  (L1),MCHI US Equity  (R2),NAFTRAC MM Equity  (R1)
12/24/2021,,,,53.2
12/23/2021,472.63,57.68,62.73,52.98
12/22/2021,469.75,57.35,62.32,52.72
12/21/2021,465.06,56.6,62.54,52.43
12/20/2021,456.92,55.88,60.7,51.97
12/17/2021,462.11,55.88,62.09,52.68
12/16/2021,466.74,56.67,62.83,51.72
12/15/2021,471.06,56.56,62.66,51.54
12/14/2021,463.77,55.84,64.17,51.63
12/13/2021,467.07,56.26,64.35,50.77
12/10/2021,472.74,57.56,65.9,51.5
12/9/2021,468.25,57.37,65.9,51.48
12/8/2021,471.43,57.91,65.94,51.39
12/7/2021,470.19,57.78,65.34,51.25
12/6/2021,460.62,56.65,64.12,50.89
12/3/2021,455.14,56.07,63.09,50.93
12/2/2021,459.26,56.46,64.95,51.23
12/1/2021,452.29,55.82,64.75,50.29
11/30/2021,457.63,56.12,65.21,50
11/29/2021,466.5,56.52,65.57,50.08
11/26/2021,460.62,56.19,65.98,49.72
11/25/2021,,,,50.85
11/24/2021,471.28,57.54,67.74,51.14
11/23/2021,470.06,57.9,67.49,51.36
11/22/2021,469.41,58.1,67.95,50.74
11/19/2021,470.82,58.6,68.68,51.02
11/18/2021,471.59,59.37,68.32,51.02
11/17/2021,470.04,59.32,70.27,51.24
11/16/2021,471.15,59.22,70.99,51.31
11/15/2021,469.28,59.39,70.14,
11/12/2021,469.16,59.55,70.66,51.62
11/11/2021,465.73,59.41,70.65,51.88
11/10/2021,465.54,59.19,68.42,51.86
11/9/2021,469.25,59.86,67.76,52.25
11/8/2021,470.89,59.83,68.32,52.43
11/5/2021,470.4,59.77,67.65,52.12
11/4/2021,468.75,59.69,68.77,52.08
11/3/2021,466.61,59.84,69,52
11/2/2021,463.76,59.3,68.33,
11/1/2021,461.94,59.44,70.32,51.74
10/29/2021,460.99,58.88,69.24,51.39
10/28/2021,460.12,59.28,70.4,51.31
10/27/2021,455.74,58.67,70.35,51.76
10/26/2021,457.78,58.86,71.12,52.27
10/25/2021,457.26,58.59,72.72,51.88
10/22/2021,454.88,58.84,72.48,51.93
10/21/2021,455.43,58.53,72.47,52.06
10/20/2021,454.25,58.51,72.61,52.36
10/19/2021,452.51,58.29,72.55,52.47
10/18/2021,448.98,57.97,70.74,52.71
10/15/2021,447.68,58.21,70.43,52.9
10/14/2021,444.27,57.74,69.68,52.16
10/13/2021,436.79,57.15,70.21,51.88
10/12/2021,435.24,56.31,68.6,51.91
10/11/2021,436.34,56.1,69.03,51.69
10/8/2021,439.62,56.48,69.17,51.22
10/7/2021,440.27,56.42,68.64,50.97
10/6/2021,436.65,56,65.95,51.05
10/5/2021,434.8,56.39,66.16,51.12
10/4/2021,430.29,56.1,65.45,50.89
10/1/2021,435.95,56.42,66.87,51.08
9/30/2021,430.82,56.06,67.53,51.41
9/29/2021,436.22,56.26,66.61,51.16
9/28/2021,435.47,56.42,67.37,50.93
9/27/2021,444.34,57.8,67.55,51.72
9/24/2021,445.74,57.96,66.61,51.23
9/23/2021,446.58,58.64,68,51.55
9/22/2021,441.29,57.92,68.16,51.42
9/21/2021,436.98,57.39,66.84,50.89
9/20/2021,437.23,56.76,66.16,50.67
9/17/2021,444.73,57.94,68.91,51.43
9/16/2021,449.06,58.8,68.16,
9/15/2021,449.9,58.83,69.35,52.3
9/14/2021,446.19,58.82,70.11,51.89
9/13/2021,448.58,58.98,71.61,51.6
9/10/2021,447.54,58.65,71.89,51.61
9/9/2021,450.98,58.78,72.15,51.45
9/8/2021,453,58.98,72.8,51.52
9/7/2021,453.6,59.61,73.94,52.05
9/6/2021,,,,52.28
9/3/2021,455.07,59.78,72.04,51.92
9/2/2021,455.27,60.04,72.09,52.18
9/1/2021,453.91,59.69,72.6,52.3
8/31/2021,453.71,59.3,70.79,53.35
8/30/2021,454.2,59.46,69.24,52.66
8/27/2021,452.19,59.43,68.98,52.47
8/26/2021,448.25,58.8,68.91,52.33
8/25/2021,450.91,59.13,69.99,52.35
8/24/2021,449.97,59.02,70.52,51.98
8/23/2021,449.19,58.96,67.57,52.04
8/20/2021,445.31,58.47,66.13,51.37
8/19/2021,441.79,58.22,66.55,51.08
8/18/2021,441.14,58.85,68.3,51.98
8/17/2021,445.95,59.03,67.84,51.56
8/16/2021,449,59.55,69.84,51.36
8/13/2021,447.85,59.8,71.2,51.45
8/12/2021,446.72,59.41,71.58,51.06
8/11/2021,445.68,59.4,72.75,51.29
8/10/2021,444.63,58.93,72.58,51.11
8/9/2021,444.11,58.86,71.94,50.91
8/6/2021,444.42,58.92,70.68,51.1
8/5/2021,443.65,59.18,71.56,51.11
8/4/2021,440.91,58.89,72.4,51.18
8/3/2021,443.02,58.94,71.37,51.65
8/2/2021,439.51,58.52,72.22,50.86
7/30/2021,440.4,58.27,71.27,50.9
7/29/2021,442.64,58.51,71.72,51.63
7/28/2021,440.68,58.08,71.98,51.33
7/27/2021,440.92,57.79,67.79,50.97
7/26/2021,442.94,57.98,70.63,50.97
7/23/2021,441.76,57.71,74.84,50.39
7/22/2021,437.45,57.2,77.53,50.32
7/21/2021,436.5,57.15,77.54,50.15
7/20/2021,432.99,56.05,76.84,49.36
7/19/2021,426.8,55.75,76.97,49.21
7/16/2021,433.27,56.92,78.01,50.24
7/15/2021,436.57,57.32,78.95,50.4
7/14/2021,438.07,57.86,78.23,49.42
7/13/2021,437.49,57.82,78.33,49.3
7/12/2021,439.03,58.14,77.47,49.78
7/9/2021,437.41,57.83,77.73,49.76
7/8/2021,432.81,57,75.75,49.6
7/7/2021,436.31,57.72,78.01,50.02
7/6/2021,434.53,57.41,78.33,50.04
7/5/2021,,,,50.51
7/2/2021,435.64,57.76,80.57,50.23
7/1/2021,432.35,57.59,81.77,50.39
6/30/2021,429.92,57.28,82.44,50.28
6/29/2021,429.54,57.77,83.32,50.35
6/28/2021,429.35,57.7,83.51,50.33
6/25/2021,428.44,58.14,83.02,50.66
6/24/2021,426.87,58.06,81.64,50.63
6/23/2021,424.41,57.5,80.72,50.26
6/22/2021,424.66,57.89,79.69,50.22
6/21/2021,422.65,57.86,80.27,50.4
6/18/2021,416.77,57.04,80.32,50.41
6/17/2021,422.45,58.19,80.43,50.3
6/16/2021,422.58,58.7,79.18,50.68
6/15/2021,424.93,59.28,80.43,50.96
6/14/2021,425.76,59.26,81.65,51.11
6/11/2021,424.74,59.13,81.48,51.34
6/10/2021,424.04,58.94,81.76,50.95
6/9/2021,423.22,59.76,81.36,50.92
6/8/2021,423.9,59.82,81.48,50.96
6/7/2021,423.88,59.81,81.96,51.49
6/4/2021,424.24,59.52,82.7,50.57
6/3/2021,420.41,59.08,82.01,50.67
6/2/2021,422.02,59.47,83.66,50.82
6/1/2021,421.32,59.43,84.08,50.83
5/31/2021,,,,50.94
5/28/2021,421.65,59.01,81.84,50.13
5/27/2021,420.85,58.83,82.17,49.72
5/26/2021,420.63,58.68,81.82,49.5
5/25/2021,419.86,58.88,81.29,49.18
5/24/2021,420.77,58.78,79.6,49.7
5/21/2021,416.58,58.45,79.38,49.99
5/20/2021,416.82,58.36,80.57,50.18
5/19/2021,412.46,57.52,79.95,49.63
5/18/2021,413.58,58.15,79.9,50.07
5/17/2021,417.17,58.08,79.1,49.61
5/14/2021,418.17,58.15,78.24,49.45
5/13/2021,411.81,57.06,76.69,49.09
5/12/2021,406.98,56.59,78,48.98
5/11/2021,415.87,57.2,78.95,49.84
5/10/2021,419.61,57.88,78.35,50.06
5/7/2021,423.73,58.34,80.77,49.47
5/6/2021,420.68,57.49,80.85,49.14
5/5/2021,417.29,57.08,80.76,48.62
5/4/2021,417.23,56.33,80.79,48.51
5/3/2021,419.78,57.3,81.77,48.62
4/30/2021,418.88,56.57,81.98,48.17
4/29/2021,421.61,57.36,83.3,48.89
4/28/2021,418.96,57.29,83.74,48.48
4/27/2021,419.12,57.11,83.24,48.83
4/26/2021,419.25,57.15,82.88,48.96
4/23/2021,418.31,57,83.79,49.1
4/22/2021,413.97,56.42,82.52,49.09
4/21/2021,417.68,56.6,82.13,48.9
4/20/2021,413.81,56.08,81.48,48.53
4/19/2021,416.84,57.04,82.16,48.07
4/16/2021,418.89,57.1,82.19,48.72
4/15/2021,417.42,56.44,81.8,48.52
4/14/2021,412.98,55.97,81.52,48.32
4/13/2021,414.36,55.96,81.66,47.52
4/12/2021,413.15,55.63,81.5,47.38
4/9/2021,412.98,55.91,81.38,47.65
4/8/2021,410.01,55.75,82.61,48.16
4/7/2021,408.11,55.36,81.54,47.9
4/6/2021,407.6,55.25,83.95,48
4/5/2021,407.85,55.74,83.1,48.2
4/1/2021,402.08,54.85,82.92,
3/31/2021,397.82,53.97,81.7,47.22
3/30/2021,396.27,54.03,81.54,47.85
3/29/2021,397.25,53.96,80.77,47.69
3/26/2021,397.45,54.16,81.35,47.37
3/25/2021,391.12,53.49,79.33,47.03
3/24/2021,390.21,53.2,79.34,46.73
3/23/2021,392.22,53.34,82.92,46.66
3/22/2021,395.3,54.07,84.6,47.22
3/19/2021,392.2,53.86,84.9,47.07
3/18/2021,392.93,53.79,84.29,47.6
3/17/2021,398.75,54.42,85.1,47.69
3/16/2021,397.45,54.18,84.87,48.21
3/15/2021,398.01,54.23,84.36,
3/12/2021,395.61,54.36,84.55,47.77
3/11/2021,394.99,54.32,86.94,47.62
3/10/2021,390.97,53.83,83.12,47.58
3/9/2021,388.59,53.48,84.6,47.13
3/8/2021,383.19,52.67,81.28,47.12
3/5/2021,385.07,52.57,85.19,46.34
3/4/2021,378.1,52.33,84.8,46.03
3/3/2021,382.84,52.93,87.5,46.38
3/2/2021,388.02,53.24,87.92,45.71
3/1/2021,391.03,53.07,89.81,44.8
2/26/2021,381.77,52.23,87.11,44.59
2/25/2021,383.78,52.74,88.1,44.33
2/24/2021,393.21,53.66,90.09,45.21
2/23/2021,388.94,53.19,91.93,45.24
2/22/2021,388.53,53.21,91.73,44.94
2/19/2021,391.51,53.32,95.65,44.84
2/18/2021,392.25,53.16,94.9,44.47
2/17/2021,393.92,53.39,97.19,45.02
2/16/2021,393.87,53.9,96.56,44.68
2/15/2021,,,,44.39
2/12/2021,394.18,53.4,96.38,44.16
2/11/2021,392.22,53.04,96.51,44.03
2/10/2021,391.56,52.7,95.05,44.69
2/9/2021,391.72,52.9,94.28,45
2/8/2021,392.05,52.64,92.52,44.17
2/5/2021,389.12,52.47,92.4,44.13
2/4/2021,387.6,52.14,91.83,44.17
2/3/2021,383.26,52.07,91.8,43.95
2/2/2021,382.96,52.04,90.99,43.85
2/1/2021,377.6,51.46,90.09,
1/29/2021,371.52,50.79,87.52,42.94
1/28/2021,379.05,51.87,89.1,44.28
1/27/2021,375.87,51.38,89.12,44.24
1/26/2021,385.27,52.67,92.05,45.03
1/25/2021,385.84,52.44,92.91,45.11
1/22/2021,384.31,52.8,91.06,44.66
1/21/2021,385.62,53.12,91.1,44.83
1/20/2021,385.28,52.95,91.4,45.15
1/19/2021,380.05,52.59,88.72,45.47
1/18/2021,,,,46.35
1/15/2021,377.1,52.18,85.65,45.86
1/14/2021,379.84,53.04,85.83,46.06
1/13/2021,381.16,52.67,85.31,45.74
1/12/2021,380.2,52.87,84.6,45.94
1/11/2021,380.14,52.66,83.63,46.37
1/8/2021,382.64,53.41,85.45,46.69
1/7/2021,380.47,53.16,82.75,46.22
1/6/2021,374.92,53.04,82.12,45.55
1/5/2021,372.67,52.38,83.85,44.86
1/4/2021,370.22,51.9,81.24,44.69
12/31/2020,375.39,51.28,80.97,44.15
12/30/2020,373.3,51.87,80.92,44.69
12/29/2020,372.81,51.91,79.16,44.69
12/28/2020,373.53,51.58,77.4,44.08
12/24/2020,370.31,51.23,77.62,43.58
12/23/2020,368.88,51.09,79.8,43.8
12/22/2020,368.56,50.39,79.34,42.78
12/21/2020,369.27,50.51,79.96,43.44
12/18/2020,370.49,51.22,80.34,44.03
12/17/2020,371.96,51.46,80.39,44.46
12/16/2020,369.9,51.07,79.51,43.98
12/15/2020,369.31,50.81,78.87,43.7
12/14/2020,364.35,50.13,78.53,43.71
12/11/2020,367.62,50.6,79.6,43.69
12/10/2020,368.08,50.93,80.35,43.56
12/9/2020,368.28,50.98,79.24,42.85
12/8/2020,371.53,51,80.58,43.22
12/7/2020,370.5,50.84,80.33,43.34
12/4/2020,371.19,51.17,80.74,43.73
12/3/2020,368.03,50.72,80.7,44.01
12/2/2020,368.1,50.56,79.96,43.78
12/1/2020,367.32,50.53,80.44,42.93
11/30/2020,363.32,49.35,79.81,41.86
11/27/2020,364.98,50.07,82.43,41.81
11/26/2020,,,,42.6
11/25/2020,363.99,49.9,81.24,42.43
11/24/2020,364.51,49.9,82.05,42.89
11/23/2020,358.77,49.16,81.13,42.45
11/20/2020,356.63,49.18,81.5,42.02
11/19/2020,359.04,49.2,80.28,41.98
11/18/2020,357.59,48.89,79.87,42.33
11/17/2020,361.95,49.14,80.32,42.04
11/16/2020,363.8,49.12,80.66,
11/13/2020,359.34,48.61,80.46,40.9
11/12/2020,354.52,47.91,79.74,40.42
11/11/2020,357.93,48.55,79.68,40.96
11/10/2020,355.37,48.13,79.34,40.46
11/9/2020,355.83,47.42,82.05,39.72
11/6/2020,351.44,46.1,82.81,38.61
11/5/2020,351.47,45.97,82.36,38.5
11/4/2020,344.73,44.94,81.44,37.51
11/3/2020,337.28,44.21,78,37.5
11/2/2020,331.36,43.02,79,
10/30/2020,327.62,42.4,77.72,36.96
10/29/2020,331.15,42.52,79.09,36.79
10/28/2020,327.88,42.41,77.55,37.39
10/27/2020,339.43,44.04,79.11,38.03
10/26/2020,340.59,44.63,77.84,38.22
10/23/2020,346.96,45.68,78.53,38.72
10/22/2020,345.86,45.28,78.22,38.66
10/21/2020,343.9,45.26,78.46,38.65
10/20/2020,344.57,45.75,78.27,38.21
10/19/2020,343.22,45.4,77.34,37.69
10/16/2020,348.45,45.6,77.81,37.88
10/15/2020,348.76,45.31,76.94,38.1
10/14/2020,349.19,45.95,77.6,38.03
10/13/2020,351.39,46.06,78.36,38.14
10/12/2020,353.69,46.79,78.31,38.36
10/9/2020,348.01,46.48,76.77,38.3
10/8/2020,344.98,46.02,76.36,38.41
10/7/2020,341.9,45.58,75.88,37.44
10/6/2020,336.06,45.21,75.04,36.94
10/5/2020,340.9,45.86,74.39,36.75
10/2/2020,335.05,45.04,73.99,36.66
10/1/2020,338.24,45.05,74.85,36.62
9/30/2020,336.06,44.71,74.17,37.42
9/29/2020,333.51,44.87,72.4,37.16
9/28/2020,335.36,44.88,72.49,37.24
9/25/2020,329.88,44.13,71.6,36.6
9/24/2020,324.6,43.94,71.89,36.23
9/23/2020,323.75,43.98,72.47,35.9
9/22/2020,332.97,44.6,73.24,35.86
9/21/2020,329.63,44.73,73.71,35.5
9/18/2020,333.34,46.16,73.99,36.02
9/17/2020,337.29,46.51,74.08,36.16
9/16/2020,340.21,46.41,74.56,
9/15/2020,341.57,46.42,74.82,36.71
9/14/2020,339.84,46.12,73.8,36.87
9/11/2020,335.38,45.91,72.73,36.36
9/10/2020,335.22,45.5,71.91,36.18
9/9/2020,341.18,46.18,73.32,36.18
9/8/2020,334.63,45.09,72.64,36.06
9/7/2020,,,,36.61
9/4/2020,343.98,45.75,74.81,36.5
9/3/2020,346.82,45.65,75.03,36.46
9/2/2020,359.24,46.81,77.19,37.07
9/1/2020,354.06,46.09,77.34,37.54
8/31/2020,350.77,46.23,75.65,36.89
8/28/2020,352,46.54,77.25,37.83
8/27/2020,349.76,46.19,76.29,37.65
8/26/2020,349,46.77,76.82,37.83
8/25/2020,345.49,46.34,76.54,38.34
8/24/2020,344.35,46.27,75.36,38.06
8/21/2020,340.85,45.63,74.25,38.09
8/20/2020,339.66,45.96,73.45,38.72
8/19/2020,338.62,46.03,73.23,39.01
8/18/2020,340,46.32,74.01,39.1
8/17/2020,339.28,46.33,73.78,39.25
8/14/2020,338.19,45.92,72.28,38.92
8/13/2020,338.22,46.39,72.32,38.56
8/12/2020,338.8,46.62,72.86,38.57
8/11/2020,334.14,45.6,71.81,38.65
8/10/2020,336.96,45.44,71.9,38.23
8/7/2020,335.95,45.43,72.34,37.99
8/6/2020,335.71,45.57,74.78,37.95
8/5/2020,333.45,45.51,74.61,37.85
8/4/2020,331.3,45.27,74.01,37.45
8/3/2020,330.11,45.11,72.94,37.53
7/31/2020,327.82,44.22,71.51,37.02
7/30/2020,325.26,45.18,71.66,37.1
7/29/2020,326.38,45.82,72.09,37.68
7/28/2020,322.5,45.23,70.76,37.85
7/27/2020,324.5,45.45,71.02,37.84
7/24/2020,322.13,44.92,70.94,37.44
7/23/2020,324.2,45.3,71.93,37.52
7/22/2020,328.17,45.73,72.13,37.52
7/21/2020,326.25,45.43,73.25,36.94
7/20/2020,325.66,45.33,72.69,36.38
7/17/2020,322.99,45,71.15,36.39
7/16/2020,322.04,44.67,70.76,36.54
7/15/2020,323.16,44.81,72.99,36.62
7/14/2020,320.17,44.26,72.88,36.21
7/13/2020,316.07,43.56,73.52,36.38
7/10/2020,318.9,43.83,74.37,36.48
7/9/2020,315.72,43.37,75.05,36.78
7/8/2020,317.33,44,74.87,37.49
7/7/2020,314.98,43.47,71.78,37.85
7/6/2020,318.26,44.18,73.2,37.89
7/3/2020,,,,37.86
7/2/2020,313.45,43.39,68.24,37.87
7/1/2020,311.81,43.04,66.03,37.61
6/30/2020,309.69,42.76,65.45,37.71
6/29/2020,305.66,42.68,65.57,37.76
6/26/2020,301.14,42.3,65.59,37.4
6/25/2020,308.5,42.95,66.06,37.76
6/24/2020,305.3,42.37,66.3,37.91
6/23/2020,313.21,43.52,66.92,38.22
6/22/2020,311.94,43.19,65.97,38.12
6/19/2020,309.72,42.71,65.08,38.39
6/18/2020,311.62,42.89,65.16,37.61
6/17/2020,311.38,43.19,64.79,37.91
6/16/2020,312.79,43.11,64.25,37.85
6/15/2020,306.89,42.63,63.45,37.38
6/12/2020,305.36,42.83,63.77,37.65
6/11/2020,301.59,42.05,62.81,36.79
6/10/2020,320.11,44.73,65.28,38.24
6/9/2020,322.01,44.86,64.44,39.16
6/8/2020,324.4,45.65,64.52,39.89
6/5/2020,320.48,45.11,64.7,38.93
6/4/2020,312.34,44.33,63.61,37.85
6/3/2020,313.39,44.41,64.33,38.29
6/2/2020,309.23,43.16,63.43,37.4
6/1/2020,306.68,42.7,62.07,36.99
5/29/2020,305.18,41.76,61,36.13
5/28/2020,303.95,41.74,59.24,36.48
5/27/2020,304.55,41.34,59.68,36.86
5/26/2020,300.17,40.78,60.17,36.27
5/25/2020,,,,35.91
5/22/2020,296.41,39.75,59.08,35.74
5/21/2020,295.81,39.77,61.35,35.56
5/20/2020,297.99,40.09,62.89,36.05
5/19/2020,292.99,39.23,62.48,35.81
5/18/2020,296.04,39.78,62.7,37.14
5/15/2020,287.16,38.05,60.31,35.7
5/14/2020,285.92,37.99,60.83,36.09
5/13/2020,282.54,38.33,61,36.38
5/12/2020,287.47,38.89,60.76,37.42
5/11/2020,293.45,39.36,61.23,37.63
5/8/2020,293.46,39.57,61.05,37.63
5/7/2020,288.63,38.82,59.63,36.77
5/6/2020,285.25,38.19,59.14,36.95
5/5/2020,287.14,38.5,58.71,36.57
5/4/2020,284.63,38.53,57.9,36.28
5/1/2020,283.53,38.6,57.69,
4/30/2020,291.16,39.46,59.98,36.46
4/29/2020,294.13,40.17,61.34,36.8
4/28/2020,286.64,39.01,60.32,35.78
4/27/2020,288.19,38.78,60.51,35
4/24/2020,283.9,38.23,59.66,34.7
4/23/2020,279.98,37.76,59.51,34.31
4/22/2020,280.06,37.96,59.95,34.25
4/21/2020,273.86,37.48,58.66,33.93
4/20/2020,282.46,38.24,60.08,34.54
4/17/2020,287.58,38.73,60.17,34.8
4/16/2020,280.05,37.52,59.7,33.85
4/15/2020,278.57,37.41,59.04,33.92
4/14/2020,284.83,38.96,59.74,34.81
4/13/2020,276.44,38.35,58.49,34.64
4/9/2020,279.12,38.85,58.39,
4/8/2020,275,37.89,58.47,34.63
4/7/2020,265.91,37.35,58.42,34.58
4/6/2020,265.8,37.13,58.41,34.46
4/3/2020,249.02,35.33,56.2,33.12
4/2/2020,252.59,36.06,56.87,33.63
4/1/2020,246.8,35.42,55.21,33.76
3/31/2020,258.4,37.08,57.25,34.65
3/30/2020,262.36,36.96,57.12,34.24
3/27/2020,254.24,36.43,55.86,33.78
3/26/2020,262.37,37.65,58.8,35.71
3/25/2020,247.47,35.88,57.01,35.58
3/24/2020,245.88,34.63,55.91,34.46
3/23/2020,224.65,31.74,52.78,33
3/20/2020,231.16,31.95,52.6,34.29
3/19/2020,242.06,32.37,52.74,35.19
3/18/2020,241.17,31.78,52.36,35.47
3/17/2020,255.39,33.9,55.18,36.9
3/16/2020,240.12,32.9,52.57,
3/13/2020,271.55,37.24,58.26,38.1
3/12/2020,248.96,34.95,55.34,37.01
3/11/2020,275.47,39.49,59.84,38.69
3/10/2020,289.55,41.93,61.96,39.56
3/9/2020,274.8,40.46,59.67,38.76
3/6/2020,298.7,44.31,62.11,41.37
3/5/2020,303.76,44.96,63.48,42.31
3/4/2020,314.75,46.47,63.62,43.34
3/3/2020,301.5,44.92,62.61,42.42
3/2/2020,310.4,45.35,62.96,42.11
2/28/2020,295.91,44.45,62.13,41.29
2/27/2020,298.71,44.77,61.81,41.56
2/26/2020,312.91,46.26,62.55,42.72
2/25/2020,314.12,46.19,61.8,43.02
2/24/2020,323.83,47.22,62.16,43.8
2/21/2020,335.01,49.34,64.31,44.76
2/20/2020,338.49,49.52,64.56,44.72
2/19/2020,339.88,49.75,65.3,44.83
2/18/2020,338.26,49.49,64.82,44.91
2/17/2020,,,,44.92
2/14/2020,339.07,49.72,64.82,44.92
2/13/2020,338.58,49.72,64.88,44.93
2/12/2020,339,50,65.78,45.32
2/11/2020,336.84,49.75,64.53,45
2/10/2020,336.22,49.37,63.64,44.26
2/7/2020,333.75,49.18,62.95,44.34
2/6/2020,335.57,49.69,63.61,44.44
2/5/2020,334.29,49.63,63.3,44.74
2/4/2020,330.61,49.05,63.31,45
2/3/2020,325.56,48.25,60.97,
1/31/2020,323.24,48.34,60.11,44.09
1/30/2020,329.09,49.08,61.26,44.83
1/29/2020,328.1,49.06,62.21,45.08
1/28/2020,328.33,48.97,61.61,44.69
1/27/2020,324.87,48.56,61,44.11
1/24/2020,330.23,49.58,63.4,45.1
1/23/2020,333.26,49.75,64.5,45.43
1/22/2020,332.85,49.84,65.35,45.55
1/21/2020,332.78,49.88,65,45.6
1/20/2020,,,,45.87
1/17/2020,333.5,50.24,67.44,45.75
1/16/2020,332.4,49.99,67.15,45.27
1/15/2020,329.66,49.77,66.74,44.43
1/14/2020,328.92,49.72,67.01,44.72
1/13/2020,329.43,49.68,67.78,44.81
1/10/2020,327.14,49.48,66.49,44.56
1/9/2020,328.05,49.71,66.06,44.51
1/8/2020,325.85,49.65,65.35,44.42
1/7/2020,324.2,49.56,65.16,44.13
1/6/2020,325.09,49.76,64.88,44.44
1/3/2020,323.81,49.67,64.99,44.56
1/2/2020,326.32,50.24,66.23,44.37
12/31/2019,323.24,49.87,64.09,43.51
12/30/2019,322.51,49.54,64,43.6
12/27/2019,324.26,49.95,64.27,44.26
12/26/2019,324.32,49.68,64.19,44.41
12/24/2019,322.65,49.48,63.62,44.27
12/23/2019,322.61,49.43,63.58,44.32
12/20/2019,322.38,49.35,63.535,44.6
12/19/2019,320.74,49.25,63.25,44.73
12/18/2019,319.37,49.19,63.41,45.13
12/17/2019,319.35,49.25,63.13,44.45
12/16/2019,319.32,49.65,62.43,44.4
12/13/2019,319.08,49.4,62.11,44.28
12/12/2019,318.97,48.88,62.34,
12/11/2019,316.17,48.51,61.33,43.25
12/10/2019,315.37,48.23,60.33,42.71
12/9/2019,315.7,48.25,59.98,42.02
12/6/2019,316.64,48.44,60.5,42.02
12/5/2019,313.84,47.98,60.01,42.25
12/4/2019,313.18,48.08,59.44,42.23
12/3/2019,311.25,47.6,59.18,42.34
12/2/2019,313.41,47.8,59.49,42.62
11/29/2019,316.06,48.08,59.66,42.9
11/28/2019,,,,43
11/27/2019,317.25,48.4,60.82,43.09
11/26/2019,315.73,48.25,60.6,43.05
11/25/2019,315.1,48.2,60.47,43.72
11/22/2019,312.74,47.82,59.43,43.62
11/21/2019,312.07,47.73,59.34,43.35
11/20/2019,312.52,47.77,59.3,43.72
11/19/2019,313.68,48.1,59.91,43.67
11/18/2019,313.75,48.2,59.3,
11/15/2019,313.61,48.07,59.17,43.5
11/14/2019,311.3,47.75,59.05,43.27
11/13/2019,310.86,47.86,59.14,43.16
11/12/2019,310.69,47.91,60,43.16
11/11/2019,310.16,47.97,60.39,43.68
11/8/2019,310.67,47.92,61.13,43.75
11/7/2019,309.98,48.01,61.44,44.16
11/6/2019,308.88,47.97,60.71,43.84
11/5/2019,308.74,48.01,60.7,43.61
11/4/2019,309.11,48.09,60.36,43.8
11/1/2019,307.95,47.85,59.37,43.79
10/31/2019,304.97,47.48,58.47,43.31
10/30/2019,305.87,47.67,58.69,43.67
10/29/2019,304.91,47.38,58.68,43.79
10/28/2019,305.01,47.45,59.32,43.72
10/25/2019,303.31,47.16,58.59,43.35
10/24/2019,302.11,47.22,57.95,43.71
10/23/2019,301.57,47.1,57.77,43.47
10/22/2019,300.7,46.84,58,43.28
10/21/2019,301.75,47.03,58.38,43.33
10/18/2019,299.6,46.86,57.73,43.1
10/17/2019,300.91,46.79,58.68,43.4
10/16/2019,300.07,46.58,58.59,43.45
10/15/2019,300.62,46.51,58.49,43.21
10/14/2019,297.69,45.91,57.8,43.25
10/11/2019,297.89,46.05,58.01,43.15
10/10/2019,294.95,45.05,56.9,42.89
10/9/2019,292.88,44.67,56.13,42.45
10/8/2019,290.13,44.3,55.37,42.46
10/7/2019,294.69,44.86,56.28,42.89
10/4/2019,296.02,44.79,56.69,43.32
10/3/2019,292.04,44.4,56.75,42.38
10/2/2019,289.63,44.15,55.77,42.19
10/1/2019,294.91,45.22,55.78,42.89
9/30/2019,298.52,45.74,56.08,42.97
9/27/2019,297,45.56,55.54,42.79
9/26/2019,298.59,45.58,56.78,42.9
9/25/2019,299.19,45.36,57.18,43.08
9/24/2019,297.51,45.62,56.85,43.19
9/23/2019,301.38,45.83,57.83,43.55
9/20/2019,301.22,46,58.2,43.63
9/19/2019,302.89,46.1,58.53,43.08
